Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaGlueBitstream::look_byte_string(char*, int)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaGlueBitstream::transfer_to_file(char const*, rf::LuaGlueBitstream&, int, bool)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaGlueBitstream::look_byte(int)
  0.00      0.04     0.00       95     0.00     0.00  rf::Bitstream::seekpos_byte(int)
  0.00      0.04     0.00       95     0.00     0.00  rf::Bitstream::look_byte(int, unsigned int&)
  0.00      0.04     0.00       95     0.00     0.00  rf::Bitstream::read_byte(int, unsigned int&)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul>, void>::apply(lua_State*)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaBinder::invoker<unsigned int (rf::LuaGlueBitstream::*)(int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul>, void>::apply(lua_State*)
  0.00      0.04     0.00       95     0.00     0.00  rf::LuaBinder::invoker<bool (*)(char const*, rf::LuaGlueBitstream&, int, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 1ul, 2ul, 3ul, 4ul>, void>::apply(lua_State*)
  0.00      0.04     0.00       95     0.00     0.00  unsigned int rf::LuaBinder::get_stack<unsigned int>(lua_State*, int, std::enable_if<rf::LuaBinder::is_number<unsigned int>::value, void>::type*)
  0.00      0.04     0.00       95     0.00     0.00  std::map<std::string, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::find(std::string const&)
  0.00      0.04     0.00       95     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >*, std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >*, std::string const&)
  0.00      0.04     0.00       95     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::find(std::string const&)
  0.00      0.04     0.00       95     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > >, std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > > >::_S_key(std::_Rb_tree_node_base const*)
